,title,author,language,pub_date,sales,genre,image,publisher,publish_place
17,One Hundred Years of Solitude,Gabriel García Márquez,Spanish,1967,50 million,Magic realism,https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Cien_a%C3%B1os_de_soledad_%28book_cover%2C_1967%29.jpg/250px-Cien_a%C3%B1os_de_soledad_%28book_cover%2C_1967%29.jpg,"Editorial Sudamericana, Harper & Row (US) Jonathan Cape (UK)",Argentina
18,Lolita,Vladimir Nabokov,English,1955,50 million,Novel,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Lolita_1955.JPG/250px-Lolita_1955.JPG,Olympia Press,France
19,Heidi,Johanna Spyri,German,1880,50 million,Children's fiction,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Spyri_Heidi_Cover_1887.jpg/250px-Spyri_Heidi_Cover_1887.jpg,Friedrich Andreas Perthes,Germany
20,The Common Sense Book of Baby and Child Care,Benjamin Spock,English,1946,50 million,"Manual
",https://upload.wikimedia.org/wikipedia/en/c/cd/The_Common_Sense_Book_of_Baby_and_Child_Care_%28hardcover%29.jpg,"Duell, Sloan and Pearce (New York City)",USA
21,Anne of Green Gables,Lucy Maud Montgomery,English,1908,50 million,Children's novel,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Montgomery_Anne_of_Green_Gables.jpg/250px-Montgomery_Anne_of_Green_Gables.jpg,L.C. Page & Co. [ 4 ],"Written and set in Canada, published in the United States [ 2 ] [ 3 ]"
22,Black Beauty,Anna Sewell,English,1877,50 million,Children's literature,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/BlackBeautyCoverFirstEd1877.jpeg/250px-BlackBeautyCoverFirstEd1877.jpeg,Jarrold & Sons,United Kingdom
23,The Name of the Rose,Umberto Eco,Italian,1980,50 million,Historical novel,https://upload.wikimedia.org/wikipedia/en/e/eb/The_Name_of_the_Rose.jpg,Bompiani (Italy) Harcourt (U.S.),Italy
24,The Eagle Has Landed,Jack Higgins,English,1975,50 million,War,https://upload.wikimedia.org/wikipedia/en/d/dc/TheEagleHasLanded.jpg,Collins,United Kingdom
25,Watership Down,Richard Adams,English,1972,50 million,Children's fiction,https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/Richard_Adams_WatershipDown.jpg/250px-Richard_Adams_WatershipDown.jpg,Rex Collings,United Kingdom
26,The Hite Report,Shere Hite,English,1976,50 million,"nonfiction
",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Shere_Hite.jpg/250px-Shere_Hite.jpg,Rex Collings,
27,Charlotte's Web,E. B. White,English,1952,50 million,Children's fiction,https://upload.wikimedia.org/wikipedia/en/thumb/f/fe/CharlotteWeb.png/250px-CharlotteWeb.png,Harper & Brothers,United States
28,The Ginger Man,J. P. Donleavy,English,1955,50 million,Novel,https://upload.wikimedia.org/wikipedia/en/e/ef/GingerMan.JPG,"Neville Spearman , Olympia Press",France
29,The Purpose Driven Life,Rick Warren,English,2002,50 million,Bible study,https://upload.wikimedia.org/wikipedia/en/2/25/Pupose.jpg,Zondervan,United States
30,The Tale of Peter Rabbit,Beatrix Potter,English,1902,45 million,Children's literature,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Peter_Rabbit_first_edition_1902a.jpg/250px-Peter_Rabbit_first_edition_1902a.jpg,Frederick Warne & Co.,United Kingdom
31,Jonathan Livingston Seagull,Richard Bach,English,1970,44 million,Novella,https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/Johnathan_Livingston_Seagull.jpg/250px-Johnathan_Livingston_Seagull.jpg,Macmillan Publishers (United States),
32,The Very Hungry Caterpillar,Eric Carle,English,1969,43 million,Children's literature,https://upload.wikimedia.org/wikipedia/en/thumb/b/b5/HungryCaterpillar.JPG/250px-HungryCaterpillar.JPG,World Publishing Company (US) Hamish Hamilton (UK),United States
33,A Message to Garcia,Elbert Hubbard,English,1899,40 million,"Essay/literature
",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/An_early_reprint_of_%22A_Message_to_Garcia%22.jpg/250px-An_early_reprint_of_%22A_Message_to_Garcia%22.jpg,The Roycrofters,United States
34,To Kill a Mockingbird,Harper Lee,English,1960,40 million,Southern Gothic,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/To_Kill_a_Mockingbird_%28first_edition_cover%29.jpg/250px-To_Kill_a_Mockingbird_%28first_edition_cover%29.jpg,J. B. Lippincott & Co.,United States
35,Flowers in the Attic,V. C. Andrews,English,1979,40 million,Gothic horror,https://upload.wikimedia.org/wikipedia/en/thumb/9/99/Dollanganger01_FlowersInTheAttic.jpg/200px-Dollanganger01_FlowersInTheAttic.jpg,Simon & Schuster,United States
36,Cosmos,Carl Sagan,English,1980,40 million,Popular science,https://upload.wikimedia.org/wikipedia/en/9/91/Cosmos_book.gif,Random House Hachette UK (1995 Ed.),United Kingdom
37,Sophie's World,Jostein Gaarder,Norwegian,1991,40 million,Philosophical novel,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Sofies_verden.jpg/250px-Sofies_verden.jpg,Aschehoug,Norway
38,Angels & Demons,Dan Brown,English,2000,39 million,mystery,https://upload.wikimedia.org/wikipedia/en/5/5f/AngelsAndDemons.jpg,Aschehoug,United States United Kingdom
39,Alcoholics Anonymous,William Griffith Wilson,English,1939,over 37 million,Self-help,https://upload.wikimedia.org/wikipedia/en/1/17/Big_book_2nd_edition.jpg,Alcoholics Anonymous World Services,United States
40,Kane and Abel,Jeffrey Archer,English,1979,37 million,Novel,https://upload.wikimedia.org/wikipedia/en/f/f3/KaneAndAbel.jpg,Hodder & Stoughton,United Kingdom
41,How the Steel Was Tempered,Nikolai Ostrovsky,Russian,1932,36.4 million copies in USSR,Socialist realist,https://upload.wikimedia.org/wikipedia/en/7/74/How_the_Steel_Was_Tempered_%28novel%29_cover.jpg,Young Guard (serial),Soviet Union
42,War and Peace,Leo Tolstoy,Russian,1869,36 million copies in Russia,Historical novel,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Tolstoy_-_War_and_Peace_-_first_edition%2C_1869.jpg/250px-Tolstoy_-_War_and_Peace_-_first_edition%2C_1869.jpg,The Russian Messenger (serial),Russia
43,The Adventures of Pinocchio,Carlo Collodi,Italian,1881,35 million,Fantasy,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Pinocchio.jpg/250px-Pinocchio.jpg,Libreria Editrice Felice Paggi,Italy
44,The Diary of Anne Frank,Anne Frank,Dutch,1947,35 million,Historical non-fiction,https://upload.wikimedia.org/wikipedia/en/4/47/Het_Achterhuis_%28Diary_of_Anne_Frank%29_-_front_cover%2C_first_edition.jpg,Contact Publishing [ nl ],Netherlands
45,Your Erroneous Zones,Wayne Dyer,English,1976,35 million,"Self-help
",https://upload.wikimedia.org/wikipedia/en/thumb/3/30/Your_Erroneous_Zones.jpg/250px-Your_Erroneous_Zones.jpg,Contact Publishing [ nl ],
46,The Thorn Birds,Colleen McCullough,English,1977,33 million,"Romantic family saga
",https://upload.wikimedia.org/wikipedia/en/5/53/Thorn_Birds-Colleen_McCullough.jpg,Harper & Row,Australia
47,The Kite Runner,Khaled Hosseini,English,2003,31.5 million,Bildungsroman,https://upload.wikimedia.org/wikipedia/en/thumb/6/62/Kite_runner.jpg/250px-Kite_runner.jpg,Riverhead Books,United States
48,Valley of the Dolls,Jacqueline Susann,English,1966,31 million,"Novel
",https://upload.wikimedia.org/wikipedia/en/thumb/8/85/Valley_of_the_dolls_novel_first_edition_1966.jpg/250px-Valley_of_the_dolls_novel_first_edition_1966.jpg,Bernard Geis Associates,United States
49,How to Win Friends and Influence People,Dale Carnegie,English,1936,Over 30 million,Self-help,https://upload.wikimedia.org/wikipedia/en/thumb/3/33/How-to-win-friends-and-influence-people.jpg/250px-How-to-win-friends-and-influence-people.jpg,Simon & Schuster,United States
